Name,Unit,Expression,Value,Comments,Favorite
component_height,in,85.1875 in,85.188,"001) Input - Model
    Height of the component",true
component_width,in,23.375 in,23.375,"002) Input - Model
    Width of the component",true
component_floor_clearance,in,1.0 in,1.00,"004) Input - Model
    Floor clearance of the component",true
door_hinging_right,,0,0,"007) Input - Model
    Whether the door's hinges are on the right side of the door",true
hinge_hole_radius,in,0.25 in,0.25,"021) Fixed - Model
    The radius of the hinge holes",false
component_thickness,in,0.75 in,0.75,"003) Fixed - Model
    The thickness of the component",false
door_top_margin,in,1.72 in + if(door_wall_post_hinging; 0 in; if(floor_to_ceiling; top_notching_y_dist; 0 in)),1.72,"034) Fixed - Helper
    Distance between top-most hole and top of door",false
door_bottom_margin,in,1.72 in + if(( component_floor_clearance == 1 in ) and not(door_wall_post_hinging); bottom_notching_y_dist; 0 in),5.03,"033) Derived - Helper
    Distance between bottom-most hole and bottom of door",false
door_swinging_out,,0,0,"008) Input - Model
    Whether the door is an outswing door",true
door_wall_post_hinging,,0,0,"009) Input - Model
    Whether the door hinges on a wall post",true
door_wall_keep_latching,,0,0,"012) Input - Model
    Whether the door latches on a wall keep",true
notching_x_dist,in,0.4414 in,0.441,"032) Fixed - Model
    The horizontal width of the notching",false
bottom_notching_y_dist,in,3.31 in,3.31,"030) Fixed - Model
    Height of notching cutout from bottom of door",false
hinge_hole_space,in,1.5 in,1.50,"040) Fixed - Helper
    Distance between the top and bottom hole on a single hinge",false
hinge_hole_x_dist,in,0.968 in,0.968,"020) Fixed - Model
    Horizontal distance between hinge holes and edge of stile",false
hole_placement,in,if(left_exterior_drilling or right_interior_drilling; hinge_hole_x_dist; component_width - hinge_hole_x_dist),22.407,"105) Derived - Model
    An offset that shifts the hinge holes to the appropriate side of the component",false
rabbeting_width,in,0.3 in,0.30,"050) Fixed - Model
    The horizontal width of the rabbeting",false
rabbeting_depth,in,0.5 in,0.50,"051) Fixed - Model
    The depth of the rabbeting",false
hinge_hole_depth,in,0.5625 in,0.563,"022) Fixed - Model
    The depth of the hinge holes",false
bottom_left_notching,,if(not(component_floor_clearance == 1 in); 0; if(( right_interior_drilling or left_exterior_drilling ) and door_wall_post_hinging; 0; if(( left_interior_drilling or right_exterior_drilling ) and ( door_wall_keep_latching or door_wall_post_latching ); 0; 1))),1,"301) Derived - Model
    Whether the bottom left corner of the door is notched to accommodate the shoe on a stile",false
bottom_right_notching,,if(not(component_floor_clearance == 1 in); 0; if(( left_interior_drilling or right_exterior_drilling ) and door_wall_post_hinging; 0; if(( right_interior_drilling or left_exterior_drilling ) and ( door_wall_keep_latching or door_wall_post_latching ); 0; 1))),1,"302) Derived - Model
    Whether the bottom right corner of the door is notched to accommodate the shoe on a stile",false
label_out_positioning_offset,in,( if(not(door_swinging_out); -1; 1) ) * 1 in,-1.00,"107) Derived - Model
    An offset that repositions the ""out"" label relative to the door, to change which face is treated as the exterior""",false
label_in_positioning_offset,in,( if(not(door_swinging_out); 1; -1) ) * 1 in,1.00,"106) Derived - Model
    An offset that repositions the ""in"" label relative to the door, to change which face is treated as the interior",false
top_hinge_hole_1_y_value,in,door_top_margin,1.72,"401) Derived - Model
    Distance between top of the door and the center of the door hinge hole",false
top_hinge_hole_2_y_value,in,top_hinge_hole_1_y_value + hinge_hole_space,3.22,"402) Derived - Model
    Distance between top of the door and the center of the door hinge hole",false
inter_hinge_gap,in,( component_height - ( door_top_margin ) - ( door_bottom_margin + hinge_hole_space ) ) / 3,25.646,"041) Derived - Helper
    Distance between top holes of adjacent hinges",false
mid_top_hinge_offset,in,( -1 * 0.823 * if(component_floor_clearance == 1 in and not(door_wall_post_hinging); 1; 0) ) * 1 in,-0.823,"042) Derived - Helper
    An offset applying to the mid-top hinge when the floor clearance is 1"""" the door hinges on a stile",false
mid_top_hinge_hole_1_y_value,in,top_hinge_hole_1_y_value + inter_hinge_gap + mid_top_hinge_offset,26.543,"403) Derived - Model
    Distance between top of the door and the center of the door hinge hole",false
mid_top_hinge_hole_2_y_value,in,mid_top_hinge_hole_1_y_value + hinge_hole_space,28.043,"404) Derived - Model
    Distance between top of the door and the center of the door hinge hole",false
