Type,Parameter Name,Value,Unit,Expression,Comment
Metadata,series_id,3082G.67P,,3082G.67P,Input parameter (not in model)
User,component_height,24.1875,in,24.1875 in,"001) Input - Model
    Height of the component"
User,component_width,63.0625,in,63.0625 in,"002) Input - Model
    Width of the component in inches"
User,component_thickness,0.5,in,0.5 in,"020) Fixed - Model
    Thickness of the component"
User,component_floor_clearance,9.0,in,9.0 in,"003) Input - Model
    Floor clearance of the component"
User,bottom_notching_standard_y_dist,3.5,in,3.5 in,"022) Fixed - Model
    Vertical height of bottom notch"
User,notching_front_edge_bottom,0.0,,if(not(panel_section == 'TOP') and ( bottom_notching_actual_y_dist > 0 in ); if(panel_abuts_inline_stile_front; 1; 0); 0),"101) Derived - Model
    Whether notching is present on the front bottom corner of the panel"
User,notching_back_edge_bottom,0.0,,if(not(panel_section == 'TOP') and ( bottom_notching_actual_y_dist > 0 in ); if(panel_abuts_inline_stile_back; 1; 0); 0),"102) Derived - Model
    Whether notching is present on the back bottom corner of the panel"
User,notching_x_dist,0.38,in,0.38 in,"021) Fixed - Model
    Horizontal length of notch"
User,panel_abuts_inline_stile_front,1.0,,1,"007) Input - Helper
    Whether the panel’s front edge abuts a stile rather than a wall"
User,panel_abuts_inline_stile_back,0.0,,0,"009) Input - Helper
    Whether the panel’s back edge abuts a stile rather than a wall"
User,stile_in_the_back_width,24.0,in,24.0 in,"011) Input - Model
    If the panel has a stile-in-the-back, the width of that stile"
User,top_notching_y_dist,3.5,in,if(component_ceiling_clearance < ( shoe_height + shoe_top_notch_gap ); ( shoe_height + shoe_top_notch_gap ) - component_ceiling_clearance; 0 in),"024) Derived - Model
    Vertical height of top notch"
User,panel_front_inline_stile_floor_to_ceiling,1.0,,1,"008) Input - Helper
    If the panel’s back edge abuts an inline stile, indicates whether the inline stile is floor-to-ceiling (XX86) or not"
User,component_ceiling_clearance,1.0,in,1.0 in,"004) Input - Model
    Ceiling clearance of the component"
User,shoe_height,4.0,in,4 in,"025) Input - Model
    Shoe height of adjacent stiles"
User,shoe_top_notch_gap,0.5,in,0.5 in,"026) Fixed - Model
    Additional gap added to ensure proper fitting"
